Year,Decades,MiddleClimate,Tm,Pm,Model_PJ4,Rs_Annomaly,Tm_Annomaly,Pm_Annomaly
2011,2010s,Dsw,-0.173401,37.85564,2.154301237,0.038,0.523,-0.919
2012,2010s,Dsw,-0.847808,45.063493,2.214578884,0.098,-0.152,6.289
2013,2010s,Dsw,-0.285744,46.329122,2.234289921,0.118,0.41,7.555
2014,2010s,Dsw,0.106719,38.263273,2.180225653,0.064,0.803,-0.511
1961,1990s,E,-33.195621,17.737101,4.757504501,-0.211,-0.501,0.937
1962,1990s,E,-33.689997,18.601482,4.749780943,-0.219,-0.996,1.802
1963,1990s,E,-33.000695,19.546515,4.7137436,-0.255,-0.307,2.747
1964,1990s,E,-33.795783,26.276558,4.643779607,-0.325,-1.102,9.477
1965,1990s,E,-33.263358,18.763416,4.712322292,-0.256,-0.569,1.964
1966,1990s,E,-32.99288,24.912857,4.827109199,-0.141,-0.299,8.113
1967,1990s,E,-33.087073,23.550016,4.82729075,-0.141,-0.393,6.75
1968,1990s,E,-33.47768,20.114067,4.753151073,-0.215,-0.783,3.314
1969,1990s,E,-33.14563,19.655392,4.834390304,-0.134,-0.451,2.856
1970,1990s,E,-32.980498,16.730015,4.822581202,-0.146,-0.286,-0.07
1971,1990s,E,-33.049976,17.839146,4.873620669,-0.095,-0.356,1.04
1972,1990s,E,-33.068864,19.364857,4.660338249,-0.308,-0.375,2.565
1973,1990s,E,-33.112772,17.826147,4.89195293,-0.077,-0.419,1.027
1974,1990s,E,-32.897532,17.113115,4.904661537,-0.064,-0.203,0.314
1975,1990s,E,-33.147688,18.223005,4.869251372,-0.099,-0.454,1.423
1976,1990s,E,-33.501911,18.639526,4.768572161,-0.2,-0.808,1.84
1977,1990s,E,-33.069074,19.542882,4.894497826,-0.074,-0.375,2.743
1978,1990s,E,-33.140203,15.494058,4.703301213,-0.265,-0.446,-1.306
1979,1990s,E,-33.478745,17.169351,4.762841862,-0.206,-0.785,0.37
1980,1990s,E,-32.037449,17.313316,4.966776283,-0.002,0.657,0.514
1981,1990s,E,-32.203122,16.397868,4.991957987,0.023,0.491,-0.402
1982,1990s,E,-33.0663,17.780548,4.782105368,-0.186,-0.372,0.981
1983,1990s,E,-33.212899,15.81599,4.783034074,-0.186,-0.519,-0.984
1984,1990s,E,-32.450217,16.199911,4.974939119,0.006,0.244,-0.6
1985,1990s,E,-32.792499,13.840351,4.890906152,-0.078,-0.098,-2.959
1986,1990s,E,-33.022599,14.200972,4.777171737,-0.191,-0.328,-2.599
1987,1990s,E,-33.016438,16.170582,4.883712649,-0.085,-0.322,-0.629
1988,1990s,E,-31.848233,15.338031,5.079520417,0.111,0.846,-1.462
1989,1990s,E,-32.963955,14.710932,4.927870298,-0.041,-0.27,-2.089
1990,1990s,E,-32.550432,17.362737,4.998768709,0.03,0.144,0.563
1991,1990s,E,-32.222551,15.38803,5.057242267,0.089,0.472,-1.412
1992,1990s,E,-33.010034,15.228448,4.701031819,-0.268,-0.316,-1.571
1993,1990s,E,-33.598069,13.424629,4.848209168,-0.12,-0.904,-3.375
1994,1990s,E,-33.42845,13.446275,4.842826102,-0.126,-0.734,-3.353
1995,1990s,E,-32.863643,15.641391,5.005797165,0.037,-0.169,-1.158
1996,1990s,E,-32.223542,17.989091,4.979515995,0.011,0.471,1.189
1997,1990s,E,-32.899757,16.088608,5.027448137,0.059,-0.206,-0.711
1998,1990s,E,-32.360304,14.963593,5.244932904,0.276,0.334,-1.836
1999,1990s,E,-32.637821,14.72895,4.989959651,0.021,0.056,-2.071
2000,1990s,E,-32.520975,16.402746,5.047394683,0.079,0.173,-0.397
2001,2010s,E,-32.264832,15.087021,5.156580154,0.188,0.429,-1.713
2002,2010s,E,-31.846801,16.723907,5.219621066,0.251,0.847,-0.076
2003,2010s,E,-32.37082,16.437497,5.293782326,0.325,0.323,-0.362
2004,2010s,E,-32.659669,14.461635,5.137028451,0.168,0.035,-2.338
2005,2010s,E,-31.3024,14.461635,5.338882012,0.37,1.392,-2.338
2006,2010s,E,-31.88759,19.096897,5.288766807,0.32,0.807,2.297
2007,2010s,E,-31.424478,16.33661,5.298173207,0.33,1.27,-0.463
2008,2010s,E,-32.089666,14.534402,5.146942053,0.178,0.605,-2.265
2009,2010s,E,-31.69786,13.827737,5.211915917,0.243,0.996,-2.972
2010,2010s,E,-31.913737,13.796419,5.4365561,0.468,0.78,-3.003
2011,2010s,E,-31.714164,13.356112,5.312685269,0.344,0.98,-3.443
2012,2010s,E,-32.312192,13.948386,5.339598061,0.371,0.382,-2.851
2013,2010s,E,-31.790496,14.46167,5.200813978,0.232,0.904,-2.338
2014,2010s,E,-32.185989,15.116199,5.149209543,0.181,0.508,-1.683
